弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,未知信息,弹幕信息,分词结果
196.09900,1,25,16777215,Mon Mar 13 12:17:52 2023,0,e5367405,1271628019706353408	,8,混乱的时代只有成王败寇，没有原始积累，再高远的理想都是个屁,混乱 时代 成王败寇 ， 原始积累 ， 再 高远 理想 都 屁
1046.73300,1,25,16777215,Mon Mar 13 11:04:34 2023,0,57de95a8,1271591123923903488	,8,全剧最恶心就是这个女的,全剧 最 恶心 女
616.82700,1,25,16777215,Sun Mar 12 16:10:00 2023,0,b7dfd52,1271020075943640832	,8,自己观点和up不一样就直说，别强行讲求生欲什么的,观点 up 不 直说 ， 强行 讲 求生欲
622.06900,1,25,16777215,Sun Mar 12 12:42:02 2023,0,8727d4cf,1270915405879670272	,8,叠甲抗伤保命而已，别急,叠甲 抗伤 保命 ， 别急
607.98600,1,25,16777215,Sun Mar 12 12:41:35 2023,0,8727d4cf,1270915180578027264	,8,好好好,好好 好
200.68300,1,25,16777215,Sun Mar 12 11:25:38 2023,0,107880f,1270876953766898688	,8,世界本质就是弱肉强食，人的都慕强的,世界 本质 弱肉强食 ， 人 都 慕强
1037.46500,1,25,16777215,Sun Mar 12 11:19:05 2023,0,8d451554,1270873654997441536	,8,怎么可能啊，异想天开，剧本都不敢写,， 异想天开 ， 剧本 都 写
860.39100,5,25,16776960,Sun Mar 12 02:29:59 2023,0,7ff74d55,1270607347957756160	,8,不要因为阴暗角落就怀疑太阳存在，高大上和小而美不冲突，真实世界里就是同时有很好很坏的人,阴暗 角落 怀疑 太阳 ， 高大 上 小 美 不 冲突 ， 真实世界 里 很 好 很 坏 人
784.02900,5,25,16776960,Sun Mar 12 02:26:22 2023,0,7ff74d55,1270605526019247360	,8,还在自己承受的范围内忍受，你们连市场时期的唐小龙都忍受不了,还 承受 内 忍受 ， 市场 时期 唐 小龙 都 忍受 不了
5.91000,5,25,16777215,Sun Mar 12 02:09:12 2023,0,7ff74d55,1270596887791259392	,8,那你就是为了文案写了，狂飙后三分之一质量很一般,文案 写 ， 狂飙 后 三分之一 质量 很
606.73900,1,25,16777215,Sat Mar 11 18:10:09 2023,0,1cbaa89e,1270355777932477184	,8,卸磨杀驴,卸磨杀驴
24.67800,1,25,16777215,Sat Mar 11 15:38:16 2023,0,c08c7674,1270279326868232448	,8,三体好看！,三体 好看 ！
607.45500,1,25,16777215,Fri Mar 10 19:48:41 2023,0,fafba937,1269680592958801152	,8,哈哈哈哈哈哈哈哈哈哈哈哈哈哈,哈哈哈哈 哈哈哈哈 哈哈哈 哈哈哈
150.96000,1,25,16777215,Fri Mar 10 13:33:36 2023,0,b017daff,1269491810095791360	,8,高启强只是没洗白,高启 强 没洗 白
1043.34100,1,25,16777215,Fri Mar 10 12:55:32 2023,0,e3b76f49,1269472649189584128	,8,这根本不可能，无论如何都不可能,不 ， 无论如何 都 不
766.33500,1,25,16777215,Fri Mar 10 11:33:05 2023,0,b9539778,1269431146467747072	,8,打不过就只能加入,只能
