弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,未知信息,弹幕信息,分词结果
5.47500,1,25,16777215,Tue Feb 28 15:43:11 2023,0,f2e76098,1262309273766346496	,8,因为这两年没啥电视剧可看,两年 没 电视剧 看
1029.57700,1,25,16777215,Tue Feb 28 15:28:13 2023,0,80c7e261,1262301741358449408	,8,这个真是mvp,mvp
771.94800,1,25,16777215,Tue Feb 28 15:25:39 2023,0,469ebbe1,1262300445192618240	,8,难说,难说
912.36300,5,25,16707842,Tue Feb 28 12:33:36 2023,0,a0610ebe,1262213855187501824	,7,安欣是一群人的缩影，安欣在现实中无处不在，是无数个来自人民的勇者，保卫着这个国家和人民,安欣 一群 人 缩影 ， 安欣 现实 中 无处不在 ， 无数个 来自 人民 勇者 ， 保卫 国家 人民
491.00500,1,25,16777215,Tue Feb 28 12:28:20 2023,0,be5e7c64,1262211203372041984	,7,竞争从来没有公平可言,竞争 从来 公平 可言
8.13100,1,25,16777215,Tue Feb 28 12:20:48 2023,0,3c0a2b48,1262207405388006400	,7,你把觉醒年代放哪儿？,觉醒 年代 放 ？
53.13700,1,25,16777215,Tue Feb 28 12:16:16 2023,0,b8e1fe36,1262205127067413504	,7,既然有人讲亿万，赞。,有人 讲 亿万 ， 赞 。
1087.39800,1,25,16777215,Tue Feb 28 12:14:29 2023,0,afa50654,1262204231910385664	,7,up主什么时候这么假了,up 主 假
39.61900,5,25,16707842,Tue Feb 28 11:31:27 2023,0,2d235868,1262182571140408576	,7,别吵架,吵架
149.68000,1,25,16777215,Tue Feb 28 11:24:00 2023,0,8cf4fa7f,1262178820937557760	,7,范德比尔特 江湖人称范德彪,范德比尔 特 江湖人称 范德彪
166.67900,1,25,16777215,Tue Feb 28 08:02:10 2023,0,be1345ca,1262077236690129408	,7,美国铁路下的冤魂,美国 铁路 下 冤魂
1064.39100,1,25,16777215,Tue Feb 28 02:04:40 2023,0,a904e8a9,1261897300184458240	,7,年轻人，愿望是美好的。,年轻人 ， 愿望 美好 。
50.23700,1,25,16777215,Tue Feb 28 00:25:41 2023,0,345d04ed,1261847476265285888	,7,这是人的欲望造成的,人 欲望
873.76600,1,25,16777215,Mon Feb 27 23:55:03 2023,0,c1ea3dbf,1261832056753639936	,7,不是，你不知道很多中层阶级的子女都很悲天悯人嘛，因为他们不用管自己才有心情怜悯,， 不 很多 中层阶级 子女 都 很 悲天悯人 ， 不用 才 心情 怜悯
1044.66700,1,25,16777215,Mon Feb 27 23:40:22 2023,0,90bf49a1,1261824667346530816	,7,我想到默读了hhh其实费渡就是这样子的,想到 默读 hhh 费渡 样子
12.64400,1,25,16777215,Mon Feb 27 22:36:10 2023,0,222ac65b,1261792360434571008	,7,好家伙值得观看,好家伙 值得 观看
409.23500,1,25,16777215,Mon Feb 27 22:31:10 2023,0,78ee0c5d,1261789839137925120	,7,up主有鼻炎吗,up 主有 鼻炎
1077.32600,1,25,16776960,Mon Feb 27 22:18:32 2023,0,f0349045,1261783479306437632	,7,自我什么？,自我 ？
945.02100,4,25,16707842,Mon Feb 27 19:28:31 2023,0,a931c817,1261697913675881984	,7,老美dddd,老美 dddd
612.30600,5,25,15138834,Mon Feb 27 19:22:40 2023,0,a931c817,1261694969056788736	,7,说心照不宣的，你的水电燃气通讯关键行业没有国有你能用得起？,说 心照不宣 ， 水电 燃气 通讯 关键 行业 国有 ？
7.65900,1,25,16777215,Mon Feb 27 16:54:14 2023,0,62ad1263,1261620253637546496	,7,异物志才是最好看的,异物 志才 最 好看
31.47900,1,25,15138834,Mon Feb 27 15:48:10 2023,0,3fe0baa6,1261587005104670464	,7,亿万找了资源5分钟都没看完就删了,亿万 找 资源 5 分钟 都 没 看 完 删
1069.60700,1,25,16777215,Mon Feb 27 15:14:32 2023,0,e7e036f,1261570072825238016	,7,他们不敢,
55.63300,1,25,16777215,Mon Feb 27 14:52:26 2023,0,7c066cfc,1261558951921583104	,7,听成了艾死。。。。。。,听成 艾死 。 。 。 。 。 。
614.56700,1,25,16777215,Mon Feb 27 14:38:00 2023,0,adcf147e,1261551686657732352	,7,懂你意思,懂
629.22100,1,25,16777215,Mon Feb 27 13:20:41 2023,0,a2e3e13c,1261512770990879744	,7,启强爹是烧锅炉的家暴男,启强 爹 烧 锅炉 家暴 男
675.40900,1,25,16777215,Mon Feb 27 12:42:01 2023,0,365b53bb,1261493315493336320	,7,现在都想考编了,都 想 考编
139.52900,1,25,16777215,Mon Feb 27 12:32:50 2023,0,365b53bb,1261488690560199424	,7,范德林德,范德林 德
1067.28500,1,25,16777215,Mon Feb 27 10:36:32 2023,0,1000746,1261430152907463168	,7,她要是不杀大嫂大家也不会说什么,不杀 大嫂 说
1047.27900,1,25,16777215,Mon Feb 27 10:30:50 2023,0,7fe5e93f,1261427283541934848	,7,不是掌权者，用法内对抗法外，你怎么赢？你凭什么？,掌权者 ， 用法 内 对抗 法外 ， 赢 ？ ？
830.05700,1,25,16777215,Mon Feb 27 08:46:21 2023,0,ae5bec07,1261374696122216704	,7,axe一开始是马赛骑马的 因为有交易天赋才被看上的 本来家庭环境很一般,axe 马赛 骑马 交易 天赋 才 看 上 本来 家庭环境 很
56.04100,1,25,16777215,Mon Feb 27 08:32:32 2023,0,ae5bec07,1261367744683985920	,7,但是烂尾了呀,烂尾
583.30600,1,25,16777215,Mon Feb 27 08:11:39 2023,0,506dfe43,1261357234370388992	,7,硬说的话，这个剪刀差是史无前例的大,硬 说 ， 剪刀差 史无前例 大
25.89300,1,25,16777215,Mon Feb 27 01:10:47 2023,0,49411826,1261145405786422528	,7,名义和沉默的真相都比这一部好多了,名义 沉默 真相 都 一部 好多
11.41900,1,25,16777215,Mon Feb 27 00:04:33 2023,0,111381be,1261112065918026496	,7,扫黑风暴也不错,扫黑 风暴 不错
1047.35000,1,25,16777215,Sun Feb 26 23:22:23 2023,0,9450226f,1261090846657479424	,7,她杀了大嫂，我绝不原谅,杀 大嫂 ， 绝不 原谅
223.64500,1,25,16777215,Sun Feb 26 23:22:13 2023,0,30ad4418,1261090760414206976	,7,高启钱现实原型上过08年奥运会直播 四川火炬手,高启 钱 现实 原型 上过 08 年 奥运会 直播 四川 火炬手
102.09300,1,25,16777215,Sun Feb 26 23:21:13 2023,0,bdedcca0,1261090258800780544	,7,美国商业大亨传奇纪录片,美国 商业 大亨 传奇 纪录片
1044.77900,1,25,16777215,Sun Feb 26 22:47:47 2023,0,d3c32a89,1261073428526505728	,7,这样太不现实了,太 不 现实
1074.29900,1,25,16777215,Sun Feb 26 22:45:36 2023,0,f739245d,1261072330759952640	,7,up最好知道自己在说什么，你头铁，你不害怕，你去冲第一线吧，我们支持你，加油哟,up 说 ， 头 铁 ， 不 害怕 ， 去 第一线 ， 支持 ， 加油
1069.97200,1,25,16777215,Sun Feb 26 22:34:49 2023,0,4afc4e04,1261066899882658304	,7,我不懂你们在笑什么，如果现在不可能，那更应该努力不是么？,不 懂 笑 ， 不 ， 更 努力 ？
1061.60900,1,25,16777215,Sun Feb 26 22:33:38 2023,0,4afc4e04,1261066309735694592	,7,所有人努力，一定是充满希望的,所有人 努力 ， 充满希望
848.68900,1,25,16777215,Sun Feb 26 22:33:28 2023,0,150b6af0,1261066222695717120	,7,马后炮，一堆瞎扯淡，没什么用,马后炮 ， 一堆 瞎 扯淡 ， 没什么
383.73900,1,25,16777215,Sun Feb 26 20:11:52 2023,0,5eb8d720,1260994956454120960	,7,杜江谁啊？,杜江 ？
1045.20900,1,25,16777215,Sun Feb 26 20:08:16 2023,0,e873557c,1260993137644576000	,7,？？？,？ ？ ？
825.37600,1,25,16777215,Sun Feb 26 19:01:20 2023,0,2b475232,1260959455529798400	,7,老钱？还老孙呢,老钱 ？ 还 老孙
974.98200,1,25,16777215,Sun Feb 26 18:52:27 2023,0,82a3d112,1260954981230618624	,7,。。。。,。 。 。 。
645.71200,1,25,16777215,Sun Feb 26 18:50:17 2023,0,2b475232,1260953892800602112	,7,病是能预防的知道不？,病是 预防 不 ？
610.41600,1,25,16777215,Sun Feb 26 18:47:49 2023,0,2b475232,1260952646639094016	,7,学院派说话就是那么的不接地气,学院派 说话 不 接地 气
490.94200,1,25,16777215,Sun Feb 26 18:42:04 2023,0,2b475232,1260949755756975872	,7,用商人的思维管理社会，可不就这样么,商人 思维 管理 社会 ， 可不
89.29900,1,25,16777215,Sun Feb 26 18:37:23 2023,0,4b9a010c,1260947395806972416	,7,教父：给你一个无法拒绝的条件,教父 ： 一个 拒绝 条件
397.02200,1,25,16777215,Sun Feb 26 18:36:27 2023,0,2b475232,1260946931245394432	,7,高启强：别乱扣帽子，但凡我有个正经工作也不至于如此,高启 强 ： 乱扣帽子 ， 但凡 正经 工作 不至于
374.82200,1,25,16777215,Sun Feb 26 18:35:01 2023,0,2b475232,1260946210496419840	,7,一样也不一样,不
188.22800,1,25,16777215,Sun Feb 26 18:33:30 2023,0,83f08177,1260945443198843136	,7,赚钱嘛，不寒碜,赚钱 ， 不 寒碜
266.98200,1,25,16777215,Sun Feb 26 18:31:39 2023,0,2b475232,1260944508993099520	,7,高启强：我就一卖鱼的，跟他们不认识,高启 强 ： 一卖 鱼 ， 不
91.42200,1,25,16777215,Sun Feb 26 18:26:12 2023,0,2b475232,1260941769164867328	,7,美国：这都能带上我？,美国 ： 都 带上 ？
681.75100,1,25,16777215,Sun Feb 26 17:50:01 2023,0,efa3021b,1260923560130817280	,7,那时候还没有考公一说。都是子女接班。,还 考公一 说 。 都 子女 接班 。
562.02800,1,25,16777215,Sun Feb 26 17:45:51 2023,0,efa3021b,1260921461233935616	,7,莽村应该要强盛集团的股份,莽村 强盛 集团 股份
18.81900,1,25,16777215,Sun Feb 26 17:38:40 2023,0,f222f5d9,1260917848856090624	,7,刚说几句就说up过度解读 你在怕啥呢？,刚说 几句 说 up 过度 解读 怕 ？
32.04800,1,25,16777215,Sun Feb 26 17:14:44 2023,0,efa3021b,1260905799895748608	,7,狂飙看不下去，有些人物行为不大符合人性，很违和。显微镜下的大明看得欲罢不能。,狂飙 看不下去 ， 人物 不 大 符合 人性 ， 很违 。 显微镜 下 大明 看 欲罢不能 。
1093.46000,1,25,16777215,Sun Feb 26 16:18:28 2023,0,af9344f4,1260877481590944512	,7,说很容易，做不做是另一个问题,说 很 ， 做 不 做 一个
1018.78000,1,25,16777215,Sun Feb 26 16:16:57 2023,0,af9344f4,1260876715996222720	,7,狂飙跟人民的名义比简直太过肤浅,狂飙 人民 名义 简直 太过 肤浅
1018.22000,1,25,16777215,Sun Feb 26 16:16:08 2023,0,af9344f4,1260876307370252288	,7,这是up的深度，并不是狂飙的深度,这是 up 深度 ， 狂飙 深度
963.18000,1,25,16777215,Sun Feb 26 16:14:37 2023,0,af9344f4,1260875540190053120	,7,想和做是两码事，说和做也是两码事,想 做 两码事 ， 说 做 两码事
383.81900,1,25,16777215,Sun Feb 26 15:28:05 2023,0,11da30bd,1260852120178290688	,7,杜江躺枪,杜江 躺 枪
1015.64600,1,25,16777215,Sun Feb 26 15:11:37 2023,0,d67e34a6,1260843834875984640	,7,这一段跟我想的太一样了,一段 想 太
1.08600,1,25,16777215,Sun Feb 26 14:22:40 2023,0,dbcfb0da,1260819191620227072	,7,大风将起 ，王猴拜象宁有种乎！,大风 ， 王猴 拜象宁 有种乎 ！
3.89000,1,25,16777215,Sun Feb 26 14:07:29 2023,0,65b143a4,1260811554564198656	,7,上一个是人民的名义,上 一个 人民 名义
30.08300,1,25,16777215,Sun Feb 26 13:50:33 2023,0,f413689c,1260803034414451968	,7,三体电视剧是越后面越好看，狂飙后面有点低走,三体 电视剧 越 越 好看 ， 狂飙 低 走
43.79400,1,25,16777215,Sun Feb 26 13:11:21 2023,0,eb055eeb,1260783304324798208	,7,《人民的灾难》,《 人民 灾难 》
